Train accuracy,Test accuracy
9.871666666666666,9.8
11.236666666666666,11.35
16.72,16.85
60.48,61.28
78.12333333333333,78.72
80.36,80.96
84.31,84.73
87.40833333333333,87.71
87.57166666666667,87.88
87.76666666666667,88.06
89.54666666666667,89.64
89.65833333333333,90.01
90.68833333333333,91.01
90.865,90.76
91.21833333333333,91.4
90.68333333333334,90.67
92.01666666666667,91.9
90.84166666666667,91.05
91.445,91.44
92.28833333333333,92.21
91.72166666666666,91.6
92.435,92.46
92.02833333333334,91.94
93.19666666666667,92.9
93.31166666666667,93.14
93.12833333333333,93.03
